MolecularWeight,LogP,TPSA,HBondDonors,HBondAcceptors,RotatableBonds,NumAtoms,NumRings
344.10802622400007,5.376700000000004,17.82,0,2,4,25,4
344.10802622400007,5.376700000000004,17.82,0,2,4,25,4
344.10802622400007,5.376700000000004,17.82,0,2,4,25,4
344.10802622400007,5.376700000000004,17.82,0,2,4,25,4
520.1419440399999,4.869200000000005,93.81,1,6,4,35,5
520.1419440399999,4.869200000000005,93.81,1,6,4,35,5
520.1419440399999,4.869200000000005,93.81,1,6,4,35,5
520.1419440399999,4.869200000000005,93.81,1,6,4,35,5
415.155686416,3.7543000000000015,101.38000000000002,2,7,5,31,5
415.155686416,3.7543000000000015,101.38000000000002,2,7,5,31,5
415.155686416,3.7543000000000015,101.38000000000002,2,7,5,31,5
415.155686416,3.7543000000000015,101.38000000000002,2,7,5,31,5
415.155686416,3.7543000000000015,101.38000000000002,2,7,5,31,5
415.155686416,3.7543000000000015,101.38000000000002,2,7,5,31,5
474.1066663280001,5.004200000000005,59.51,1,6,6,30,4
474.1066663280001,5.004200000000005,59.51,1,6,6,30,4
474.1066663280001,5.004200000000005,59.51,1,6,6,30,4
474.1066663280001,5.004200000000005,59.51,1,6,6,30,4
529.164745148,5.190380000000005,82.88,1,8,9,36,4
529.164745148,5.190380000000005,82.88,1,8,9,36,4
529.164745148,5.190380000000005,82.88,1,8,9,36,4
529.164745148,5.190380000000005,82.88,1,8,9,36,4
557.222738692,6.361920000000006,105.24000000000001,3,8,9,38,4
557.222738692,6.361920000000006,105.24000000000001,3,8,9,38,4
557.222738692,6.361920000000006,105.24000000000001,3,8,9,38,4
557.222738692,6.361920000000006,105.24000000000001,3,8,9,38,4
229.052112212,-0.5941000000000001,90.36999999999999,2,7,2,15,2
229.052112212,-0.5941000000000001,90.36999999999999,2,7,2,15,2
229.052112212,-0.5941000000000001,90.36999999999999,2,7,2,15,2
229.052112212,-0.5941000000000001,90.36999999999999,2,7,2,15,2
449.118543904,5.037700000000004,77.99,2,6,5,30,4
449.118543904,5.037700000000004,77.99,2,6,5,30,4
449.118543904,5.037700000000004,77.99,2,6,5,30,4
449.118543904,5.037700000000004,77.99,2,6,5,30,4
449.118543904,5.037700000000004,77.99,2,6,5,30,4
449.118543904,5.037700000000004,77.99,2,6,5,30,4
501.169999088,5.5408000000000035,98.78000000000002,2,6,8,37,5
501.169999088,5.5408000000000035,98.78000000000002,2,6,8,37,5
501.169999088,5.5408000000000035,98.78000000000002,2,6,8,37,5
501.169999088,5.5408000000000035,98.78000000000002,2,6,8,37,5
276.07217687200006,3.2081000000000017,72.24,1,3,3,19,1
276.07217687200006,3.2081000000000017,72.24,1,3,3,19,1
276.07217687200006,3.2081000000000017,72.24,1,3,3,19,1
276.07217687200006,3.2081000000000017,72.24,1,3,3,19,1
487.15572175200003,3.3135400000000015,106.50999999999999,3,9,7,33,4
487.15572175200003,3.3135400000000015,106.50999999999999,3,9,7,33,4
487.15572175200003,3.3135400000000015,106.50999999999999,3,9,7,33,4
487.15572175200003,3.3135400000000015,106.50999999999999,3,9,7,33,4
456.00000833999997,3.5256000000000016,88.41000000000001,3,6,6,27,3
456.00000833999997,3.5256000000000016,88.41000000000001,3,6,6,27,3
456.00000833999997,3.5256000000000016,88.41000000000001,3,6,6,27,3
456.00000833999997,3.5256000000000016,88.41000000000001,3,6,6,27,3
615.0778804360001,3.940120000000002,107.13,2,8,5,37,5
615.0778804360001,3.940120000000002,107.13,2,8,5,37,5
615.0778804360001,3.940120000000002,107.13,2,8,5,37,5
615.0778804360001,3.940120000000002,107.13,2,8,5,37,5
867.3180956199999,8.659900000000006,172.03,3,11,13,61,8
867.3180956199999,8.659900000000006,172.03,3,11,13,61,8
867.3180956199999,8.659900000000006,172.03,3,11,13,61,8
867.3180956199999,8.659900000000006,172.03,3,11,13,61,8
228.078644244,2.631800000000001,46.53,1,3,3,17,2
228.078644244,2.631800000000001,46.53,1,3,3,17,2
228.078644244,2.631800000000001,46.53,1,3,3,17,2
228.078644244,2.631800000000001,46.53,1,3,3,17,2
264.1473925,2.4711,78.43,3,3,8,19,1
264.1473925,2.4711,78.43,3,3,8,19,1
264.1473925,2.4711,78.43,3,3,8,19,1
264.1473925,2.4711,78.43,3,3,8,19,1
473.16607934399997,6.075200000000007,70.0,2,6,7,34,5
473.16607934399997,6.075200000000007,70.0,2,6,7,34,5
473.16607934399997,6.075200000000007,70.0,2,6,7,34,5
473.16607934399997,6.075200000000007,70.0,2,6,7,34,5
472.23352213600003,1.1474199999999997,116.86000000000001,1,10,4,35,5
472.23352213600003,1.1474199999999997,116.86000000000001,1,10,4,35,5
472.23352213600003,1.1474199999999997,116.86000000000001,1,10,4,35,5
472.23352213600003,1.1474199999999997,116.86000000000001,1,10,4,35,5
472.23352213600003,1.1474199999999997,116.86000000000001,1,10,4,35,5
472.23352213600003,1.1474199999999997,116.86000000000001,1,10,4,35,5
580.1347322120001,6.139100000000005,106.35000000000001,2,8,11,40,5
580.1347322120001,6.139100000000005,106.35000000000001,2,8,11,40,5
580.1347322120001,6.139100000000005,106.35000000000001,2,8,11,40,5
580.1347322120001,6.139100000000005,106.35000000000001,2,8,11,40,5
485.16299556,4.391500000000003,88.61,2,7,9,34,4
485.16299556,4.391500000000003,88.61,2,7,9,34,4
485.16299556,4.391500000000003,88.61,2,7,9,34,4
485.16299556,4.391500000000003,88.61,2,7,9,34,4
296.05093264,3.6212000000000026,6.48,0,4,4,16,0
296.05093264,3.6212000000000026,6.48,0,4,4,16,0
296.05093264,3.6212000000000026,6.48,0,4,4,16,0
296.05093264,3.6212000000000026,6.48,0,4,4,16,0
488.22057450400007,2.0704199999999995,112.89999999999999,1,8,8,34,4
488.22057450400007,2.0704199999999995,112.89999999999999,1,8,8,34,4
488.22057450400007,2.0704199999999995,112.89999999999999,1,8,8,34,4
488.22057450400007,2.0704199999999995,112.89999999999999,1,8,8,34,4
447.2382731680001,2.965820000000001,105.03999999999999,2,9,5,33,5
447.2382731680001,2.965820000000001,105.03999999999999,2,9,5,33,5
447.2382731680001,2.965820000000001,105.03999999999999,2,9,5,33,5
447.2382731680001,2.965820000000001,105.03999999999999,2,9,5,33,5
447.2382731680001,2.965820000000001,105.03999999999999,2,9,5,33,5
447.2382731680001,2.965820000000001,105.03999999999999,2,9,5,33,5
433.211389724,4.132100000000001,107.45,3,6,11,32,3
433.211389724,4.132100000000001,107.45,3,6,11,32,3
433.211389724,4.132100000000001,107.45,3,6,11,32,3
433.211389724,4.132100000000001,107.45,3,6,11,32,3
519.1010515400001,5.364900000000003,110.86,2,7,5,35,4
519.1010515400001,5.364900000000003,110.86,2,7,5,35,4
519.1010515400001,5.364900000000003,110.86,2,7,5,35,4
519.1010515400001,5.364900000000003,110.86,2,7,5,35,4
519.1010515400001,5.364900000000003,110.86,2,7,5,35,4
519.1010515400001,5.364900000000003,110.86,2,7,5,35,4
530.2879683039998,3.013800000000002,129.59,4,8,3,38,6
530.2879683039998,3.013800000000002,129.59,4,8,3,38,6
530.2879683039998,3.013800000000002,129.59,4,8,3,38,6
530.2879683039998,3.013800000000002,129.59,4,8,3,38,6
391.9981528959999,-0.7703999999999998,126.65,4,8,2,20,3
